id,name,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6189,Conroy,Iowa County,IA,Iowa,52220,CDP,41.72917,-91.99768,319,285,112,59688,1974497,0,America/Chicago
6190,Conway,Taylor County,IA,Iowa,50833,City,40.7486,-94.61886,641,40,11,36563,572430,2050,America/Chicago
6191,Coon Rapids,Carroll County/Guthrie County,IA,Iowa,50058,City,41.87477,-94.67845,712,1269,587,41979,4618598,0,America/Chicago
6192,Coppock,Jefferson County/Henry County/Washington County,IA,Iowa,52654,City,41.16424,-91.71482,319,47,29,40625,608084,26463,America/Chicago
6193,Coralville,Johnson County,IA,Iowa,52241,City,41.6764,-91.58045,319,20349,7807,56862,32574334,103310,America/Chicago
6194,Corley,Shelby County,IA,Iowa,51537,CDP,41.5786,-95.33028,712,29,29,19219,154735,0,America/Chicago
6195,Corning,Adams County,IA,Iowa,50841,City,40.98999,-94.74081,641,1564,759,40469,4116704,9352,America/Chicago
6196,Correctionville,Woodbury County,IA,Iowa,51016,City,42.47499,-95.78557,712,805,365,36779,1474143,0,America/Chicago
6197,Corwith,Hancock County,IA,Iowa,50430,City,42.99274,-93.95745,515,269,118,38333,3826274,0,America/Chicago
6198,Corydon,Wayne County,IA,Iowa,50060,City,40.75695,-93.31882,641,1587,608,36875,3607608,0,America/Chicago
6199,Cotter,Louisa County,IA,Iowa,52738,City,41.29197,-91.46155,319,47,22,65833,635742,0,America/Chicago
6200,Coulter,Franklin County,IA,Iowa,50431,City,42.7372,-93.36993,641,277,158,35341,6347773,0,America/Chicago
6201,Council Bluffs,Pottawattamie County,IA,Iowa,"51501, 51502, 51503",City,41.26194,-95.86083,712,62245,24522,44543,110998561,6849464,America/Chicago
6202,Craig,Plymouth County,IA,Iowa,51031,City,42.89582,-96.30975,712,88,19,54688,234967,0,America/Chicago
6203,Crawfordsville,Washington County,IA,Iowa,52621,City,41.21456,-91.53731,319,268,116,50833,950326,0,America/Chicago
6204,Crescent,Pottawattamie County,IA,Iowa,51526,City,41.365,-95.85807,712,622,224,81000,2824413,9261,America/Chicago
6205,Cresco,Howard County,IA,Iowa,52136,City,43.38136,-92.11405,563,3849,1657,41773,8671344,0,America/Chicago
6206,Creston,Union County,IA,Iowa,50801,City,41.0586,-94.36135,641,7839,3355,38482,13435954,163699,America/Chicago
6207,Cromwell,Union County,IA,Iowa,50842,City,41.03943,-94.46191,641,107,38,56250,751181,0,America/Chicago
6208,Crystal Lake,Hancock County,IA,Iowa,50432,City,43.22329,-93.79244,641,246,112,35000,660041,0,America/Chicago
6209,Cumberland,Cass County,IA,Iowa,50843,City,41.27416,-94.87026,712,253,124,31250,1555633,0,America/Chicago
6210,Cumming,Warren County,IA,Iowa,50061,City,41.48332,-93.76244,515,397,135,106250,6617921,26333,America/Chicago
6211,Curlew,Palo Alto County,IA,Iowa,50527,City,42.97886,-94.74109,712,56,33,26875,1961909,0,America/Chicago
6212,Cushing,Woodbury County,IA,Iowa,51018,City,42.46471,-95.67501,712,222,88,36250,833637,0,America/Chicago
6213,Cylinder,Palo Alto County,IA,Iowa,50528,City,43.08886,-94.55303,712,85,29,51875,205861,0,America/Chicago
6214,Dakota City,Humboldt County,IA,Iowa,50529,City,42.72219,-94.19718,515,822,350,48333,1909982,97731,America/Chicago
6215,Dallas Center,Dallas County,IA,Iowa,50063,City,41.68443,-93.96106,515,1788,594,69000,13697379,0,America/Chicago
6216,Dana,Greene County,IA,Iowa,50064,City,42.10748,-94.2408,515,70,26,32500,729022,0,America/Chicago
